Interval (ms),PCM1.P1.MAP,PCM1.P19.BatteryVolts,PCM1.P19.Coolant_Temp,PCM1.P1.Final_AFR1,PCM1.P1.Final_AFR2,PCM1.P14.InjectorPW1,PCM1.P9.O2Fuel_MultA,PCM1.P9.O2Fuel_MultB,PCM1.P23.Primary_Fuel_Pressure,PCM1.P12.PrimaryCompensatedInjectorFlow,PCM1.P9.RPM,PCM1.P1.Spark_Advance_Log,PCM1.P20.Target_AFR,PCM1.P4.TimeSinceRun,PCM1.P2.TPS,PCM1.P3.WasteGate_SetPoint,PCM1.P3.NonDrivenWheelSpeed,PCM1.P3.DrivenWheelSpeed,PCM1.P20.Engine_HP_Potential,PCM1.P22.EngineTorque,PCM1.ERI.VarDecs.Primary_Injector_Duty
2023-02-19::06:06:27.737,-8.99,14.37,161.60,9.05,1.03,2063.00,1.00,1.00,50.33,1270.00,1080.00,20.90,10.00,383.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.772,-8.99,14.37,161.60,9.05,1.03,2054.00,1.00,1.00,50.47,1268.00,1075.00,20.91,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.795,-8.99,14.42,161.60,9.05,1.03,2054.00,1.00,1.00,50.04,1272.00,1072.00,20.93,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.817,-8.99,14.42,161.60,9.05,1.03,2053.00,1.00,1.00,50.47,1268.00,1078.00,20.94,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.840,-8.99,14.42,161.60,9.05,1.03,2053.00,1.00,1.00,50.04,1272.00,1081.00,20.92,10.01,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.861,-8.99,14.42,161.60,9.05,1.03,2053.00,1.00,1.00,50.33,1268.00,1085.00,20.91,10.01,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.900,-8.99,14.41,161.60,9.05,1.03,2054.00,1.00,1.00,50.33,1268.00,1076.00,20.90,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.923,-8.99,14.41,161.60,9.06,1.03,2054.00,1.00,1.00,50.33,1270.00,1075.00,20.93,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:27.945,-8.99,14.41,161.60,9.05,1.02,2062.00,1.00,1.00,50.33,1270.00,1076.00,20.92,10.01,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:27.966,-8.99,14.41,161.60,9.07,1.03,2064.00,1.00,1.00,50.33,1270.00,1077.00,20.93,10.01,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:28.001,-8.99,14.40,161.60,9.07,1.03,2054.00,1.00,1.00,50.47,1270.00,1077.00,20.92,10.01,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:28.040,-8.99,14.40,161.60,9.06,1.03,2056.00,1.00,1.00,50.47,1268.00,1070.00,20.95,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.061,-8.99,14.40,161.60,9.06,1.03,2060.00,1.00,1.00,49.89,1272.00,1071.00,20.45,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:28.083,-8.99,14.40,161.60,9.07,1.03,2056.00,1.00,1.00,50.47,1266.00,1074.00,20.94,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:28.105,-8.99,14.44,161.60,9.07,1.03,2061.00,1.00,1.00,49.89,1272.00,1055.00,20.94,10.00,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:28.127,-8.85,14.44,161.60,9.06,1.03,2062.00,1.00,1.00,50.04,1272.00,1055.00,20.51,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.162,-8.99,14.44,161.60,9.07,1.03,2061.00,1.00,1.00,50.33,1268.00,1057.00,20.51,10.01,384.00,1.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.186,-8.99,14.44,161.60,9.07,1.03,2063.00,1.00,1.00,50.33,1270.00,1058.00,20.50,10.01,384.00,2.00,22.05,0.00,0.00,9.00,47.00
2023-02-19::06:06:28.208,-8.85,14.42,161.60,9.06,1.03,2065.00,1.00,1.00,50.33,1270.00,1060.00,20.49,10.01,384.00,1.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.229,-8.85,14.42,161.60,9.05,1.03,2074.00,1.00,1.00,50.33,1269.00,1060.00,20.49,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.252,-8.85,14.42,161.60,9.06,1.03,2075.00,1.00,1.00,50.47,1270.00,1062.00,20.49,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.295,-8.85,14.40,161.60,9.05,1.03,2065.00,1.00,1.00,50.47,1269.00,1070.00,20.47,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.316,-8.85,14.40,161.60,9.05,1.03,2067.00,1.00,1.00,50.04,1271.00,1070.00,20.45,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.338,-8.85,14.40,161.60,9.05,1.03,2066.00,1.00,1.00,50.47,1267.00,1057.00,20.45,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.359,-8.85,14.40,161.60,9.05,1.03,2068.00,1.00,1.00,49.89,1271.00,1050.00,20.50,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.383,-8.85,14.40,161.60,9.04,1.03,2064.00,1.00,1.00,50.62,1265.00,1050.00,20.53,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.414,-8.85,14.43,161.60,9.04,1.03,2066.00,1.00,1.00,50.47,1267.00,1054.00,20.52,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.436,-8.85,14.43,161.60,9.03,1.03,2070.00,1.00,1.00,50.04,1271.00,1055.00,20.51,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.459,-8.85,14.43,161.60,9.03,1.03,2068.00,1.00,1.00,50.47,1267.00,1052.00,20.51,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.485,-8.85,14.44,161.60,9.03,1.03,2069.00,1.00,1.00,50.04,1271.00,1053.00,20.52,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.528,-8.85,14.44,161.60,9.03,1.03,2066.00,1.00,1.00,50.33,1269.00,1063.00,20.50,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.555,-8.85,14.44,161.60,9.03,1.03,2068.00,1.00,1.00,50.33,1269.00,1061.00,20.48,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.577,-8.85,14.44,161.60,9.03,1.03,2076.00,1.00,1.00,50.33,1269.00,1054.00,20.49,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.599,-8.85,14.39,161.60,9.02,1.03,2076.00,1.00,1.00,50.47,1269.00,1055.00,20.52,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.629,-8.85,14.39,161.60,9.03,1.03,2094.00,1.00,1.00,50.47,1269.00,1058.00,20.50,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.664,-8.85,14.39,161.60,9.01,1.03,2069.00,1.00,1.00,50.33,1271.00,1063.00,20.50,10.01,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.713,-8.85,14.43,161.60,9.02,1.03,2066.00,1.00,1.00,50.04,1267.00,1059.00,20.51,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.734,-8.85,14.43,161.60,9.01,1.03,2068.00,1.00,1.00,50.04,1273.00,1064.00,20.50,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.756,-8.85,14.43,161.60,9.01,1.03,2067.00,1.00,1.00,50.47,1267.00,1071.00,20.47,10.00,384.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.778,-8.85,14.43,161.60,9.02,1.03,2072.00,1.00,1.00,50.04,1271.00,1068.00,20.44,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.814,-8.85,14.43,161.60,9.01,1.03,2070.00,1.00,1.00,50.04,1271.00,1055.00,20.49,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.836,-8.85,14.43,161.60,9.03,1.03,2068.00,1.00,1.00,50.47,1267.00,1054.00,20.51,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.871,-8.85,14.43,161.60,9.02,1.03,2070.00,1.00,1.00,50.47,1269.00,1060.00,20.51,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.899,-8.85,14.40,161.60,9.03,1.03,2072.00,1.00,1.00,50.33,1271.00,1062.00,20.49,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.921,-8.85,14.40,161.60,9.02,1.03,2079.00,1.00,1.00,50.33,1269.00,1061.00,20.48,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.951,-8.85,14.40,161.60,9.02,1.03,2071.00,1.00,1.00,50.33,1271.00,1066.00,20.49,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.972,-8.85,14.40,161.60,9.02,1.03,2070.00,1.00,1.00,50.47,1269.00,1066.00,20.47,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:28.998,-8.85,14.42,161.60,9.02,1.03,2073.00,1.00,1.00,50.33,1271.00,1067.00,20.46,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.020,-8.85,14.42,161.60,9.01,1.03,2071.00,1.00,1.00,50.47,1269.00,1055.00,20.46,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.049,-8.85,14.42,161.60,9.03,1.03,2069.00,1.00,1.00,50.47,1265.00,1059.00,20.52,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.073,-8.85,14.42,161.60,9.02,1.03,2073.00,1.00,1.00,50.04,1271.00,1062.00,20.50,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.095,-8.85,14.42,161.60,9.03,1.03,2071.00,1.00,1.00,50.47,1267.00,1066.00,20.48,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.128,-8.85,14.42,161.60,9.01,1.03,2072.00,1.00,1.00,50.33,1267.00,1064.00,20.46,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.149,-8.85,14.42,161.60,9.02,1.03,2075.00,1.00,1.00,50.04,1269.00,1063.00,20.48,10.01,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.175,-8.85,14.42,161.60,9.03,1.03,2069.00,1.00,1.00,50.47,1267.00,1066.00,20.48,10.01,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.203,-8.85,14.39,161.60,9.01,1.03,2081.00,1.00,1.00,50.33,1271.00,1070.00,20.46,10.01,385.00,2.00,22.05,0.00,0.00,9.00,48.00
2023-02-19::06:06:29.225,-8.85,14.39,161.60,9.02,1.03,2079.00,1.00,1.00,50.33,1269.00,1074.00,20.45,10.00,385.00,2.00,22.05,0.00,0.00,9.00,48.00
